cp,ciudad_ref,nombre,n_consultas,n_con_precio,n_pide_cp
06000,"Centro, CDMX",Construrama Planetario,4,0,0
62854,"Xochitepec, Morelos",Construrama Esthell,4,0,0
64000,"Monterrey Centro, NL",Construrama Arenas y Gravas Guadalupe,4,0,0
