titulo,unidad,precio_requiere_cp,url
"Deacero, Alambre Galvanizado Cal 12.5, Kilogramos",Kilos,TRUE,https://www.construrama.com/catalogo/aceros/alambre-y-alambron/deacero-alambre-galvanizado-cal-125-kilogramos/p/0201000002
"Fiero, Alambre Galvanizado Calibre 12.5, Kilogramos",Kilos UPC,TRUE,https://www.construrama.com/catalogo/aceros/alambre-y-alambron/fiero-alambre-galvanizado-calibre-125-kilogramos/p/0201000001
"Deacero, Alambre Galvanizado Cal 14.5, Kilogramos",Kilos,TRUE,https://www.construrama.com/catalogo/aceros/alambre-y-alambron/deacero-alambre-galvanizado-cal-145-kilogramos/p/0201000003
"Alambre Galvanizado Cal. 16, Kilogramos",Kilos UPC,TRUE,https://www.construrama.com/catalogo/aceros/alambre-y-alambron/alambre-galvanizado-cal-16-kilogramos/p/0201000006
"Deacero, Alambre Galvanizado Cal 16, Kilogramos",Kilos,TRUE,https://www.construrama.com/catalogo/aceros/alambre-y-alambron/deacero-alambre-galvanizado-cal-16-kilogramos/p/0201000005
