url,sku,categoria_raiz,slug
https://www.construrama.com/catalogo/aceros/castillos/deacero-armex-castillo-electrosoldado-15x154-pieza/p/0202000013,0202000013,aceros,deacero-armex-castillo-electrosoldado-15x154-pieza
https://www.construrama.com/catalogo/aceros/castillos/armex-castillo-electrosoldado-15x154-pieza/p/0202000012,0202000012,aceros,armex-castillo-electrosoldado-15x154-pieza
https://www.construrama.com/catalogo/aceros/castillos/hylsa-armex-castillo-electrosoldado-15x154-pieza/p/0202000014,0202000014,aceros,hylsa-armex-castillo-electrosoldado-15x154-pieza
https://www.construrama.com/catalogo/aceros/castillos/armex-castillo-electrosoldado-15x154-t2-pieza/p/0202000015,0202000015,aceros,armex-castillo-electrosoldado-15x154-t2-pieza
https://www.construrama.com/catalogo/aceros/castillos/deacero-armex-castillo-electrosoldado-15x154-t3-pieza/p/0202000017,0202000017,aceros,deacero-armex-castillo-electrosoldado-15x154-t3-pieza
https://www.construrama.com/catalogo/aceros/castillos/armex-castillo-electrosoldado-15x154-t3-pieza/p/0202000016,0202000016,aceros,armex-castillo-electrosoldado-15x154-t3-pieza
https://www.construrama.com/catalogo/aceros/castillos/deacero-armex-castillo-electrosoldado-15x204-pieza/p/0202000019,0202000019,aceros,deacero-armex-castillo-electrosoldado-15x204-pieza
https://www.construrama.com/catalogo/aceros/castillos/armex-castillo-electrosoldado-15x204-pieza/p/0202000018,0202000018,aceros,armex-castillo-electrosoldado-15x204-pieza
https://www.construrama.com/catalogo/aceros/castillos/hylsa-armex-castillo-electrosoldado-15x204-pieza/p/0202000020,0202000020,aceros,hylsa-armex-castillo-electrosoldado-15x204-pieza
https://www.construrama.com/catalogo/aceros/castillos/deacero-armex-castillo-electrosoldado-15x204-t3-pieza/p/0202000022,0202000022,aceros,deacero-armex-castillo-electrosoldado-15x204-t3-pieza
https://www.construrama.com/catalogo/aceros/castillos/castillo-electrosoldado-15x204-t3-pieza/p/0202000021,0202000021,aceros,castillo-electrosoldado-15x204-t3-pieza
https://www.construrama.com/catalogo/aceros/castillos/escalerilla-122-cal10-3m-pieza/p/0202000023,0202000023,aceros,escalerilla-122-cal10-3m-pieza
https://www.construrama.com/catalogo/aceros/castillos/escalerilla-122-cal10-6m-pieza/p/0202000024,0202000024,aceros,escalerilla-122-cal10-6m-pieza
https://www.construrama.com/catalogo/aceros/malla-electrosoldada/armasel-malla-electrosoldada-661010-250x40m-metro-cuadrado/p/0203000001,0203000001,aceros,armasel-malla-electrosoldada-661010-250x40m-metro-cuadrado
